EPCI;LIBEPCI;NATURE_EPCI;NB_COM
200000164;CC de Pange;CC;18
200000172;CC Faucigny-Glières;CC;7
200000321;CA des 2 Rives de la Seine;CA;12
200000354;CC de la Louge et du Touch;CC;14
200000388;CC du Sud Morvan;CC;7
200000420;CC de la Vôge Vers les Rives de la Moselle;CC;11
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;9
200000487;CC du Plateau de Lommoye (Ccpl);CC;10
200000537;CC de la Presqu'île de Rhuys;CC;5
200000545;CC des Portes de Romilly Sur Seine;CC;6
200000594;CC Entre Loire et Allier;CC;9
200000610;CC le Minervois;CC;15
200000628;CC Rhône Lez Provence;CC;5
200000636;CC Cévenne et Montagne Ardéchoises;CC;7
200000735;CC de la Viadène;CC;6
200000743;CC du Nebbiu;CC;11
200000776;CA Argenteuil - Bezons;CA;2
200000800;CC Coeur de Sologne;CC;6
200000925;CC de la Plaine Dijonnaise;CC;25
200000933;CC Sauldre et Sologne;CC;13
200000974;CC Sources de la Loire;CC;8
200001006;CC du Pays d'Eguzon-Val de Creuse;CC;8
200001105;CC du Canton de Salies-Du-Salat;CC;22
200001170;CC Aubrac-Lot-Causse;CC;11
200004802;CC du Pays de Fayence;CC;9
200005130;CC du Pays de Trie;CC;22
200005932;CC du Canton de la Ferté-Saint-Aubin;CC;6
200005957;CC de la Région de Rambervillers;CC;30
200006047;CC du Sud Dijonnais;CC;9
200006070;CC Villeneuvois, Diège et Lot;CC;13
200006385;CA de l'Aéroport du Bourget;CA;3
200006393;CC du Val de Vôge;CC;12
200006427;CC Sère - Garonne - Gimone;CC;14
200006435;CC des Terrasses et Plaines des Deux Cantons;CC;6
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;CA;54
200006716;CC du Nogentais;CC;23
200006765;CC des Terres d'Apcher;CC;18
200006781;CC Entre 2 Lacs;CC;12
200006872;CC Champagnole Porte du Haut Jura;CC;38
200006880;CC Moine et Sèvre;CC;10
200006930;CC du Haut Allier;CC;9
200006971;CC du Perche;CC;19
200007052;CC de la Marche Berrichonne;CC;9
200007128;CC Errobi;CC;11
200007177;CC Pays de Nérondes;CC;12
200007425;CC du Canton de Tournay;CC;27
200007433;CC du Canton de Saint-Laurent-De-Neste;CC;18
200009611;CC des Portes du Comminges;CC;24
200010650;CA du Grand Dole;CA;42
200010700;CC Caux Vallée de Seine;CC;47
200011286;CC de l'Aubrac Lozérien;CC;6
200011625;CC du Pays Boulageois;CC;26
200011773;CA Annemasse-Les Voirons-Agglomération;CA;12
200011781;CC Portes du Berry Entre Loire et Val d'Aubois;CC;12
200011799;CC de la Vallée de la Barousse;CC;25
200011997;CC Authie-Maye;CC;34
200012003;CC des 2 Sources;CC;50
200012037;CC de l'Isle Crémieu;CC;21
200012060;CC Petite Montagne;CC;40
200012136;CC Seuil Charente Périgord;CC;15
200012227;CC la Porte du Vignoble;CC;10
200013050;CC Sauer-Pechelbronn;CC;24
200015162;CC de l'Oriente;CC;22
200016905;CC du Pays de Lamastre;CC;11
200017341;CC Lodévois et Larzac;CC;28
200017408;CC Cap Lauragais Cc du Canton de Villefranche de Lauragais;CC;21
200017762;CC de la Motte-Du-Caire -Turriers;CC;15
200017846;CC Etampois Sud Essonne (Ccese);CC;38
200018059;CA du Mont Valérien;CA;3
200018083;CC de Desvres-Samer;CC;31
200018158;CC des Sources de la Tille;CC;10
200018166;CC du Pays du Grésivaudan (Ccpg);CC;47
200018190;CC du Pays d'Entrevaux;CC;6
200018315;CC Apcher-Margeride-Aubrac;CC;3
200018323;CC du Canton de Beaugency;CC;7
200018356;CC du Canton de Mercoeur;CC;10
200018364;CC du Canton de Saint Privat;CC;10
200018406;CC du Romorantinais et du Monestois;CC;15
200018497;CC Aure 2008;CC;3
200018521;CC du Val de Bouzanne;CC;12
200018653;CA Cap Excellence;CA;3
200019008;CC du Pays de Clerval;CC;10
200022515;CC Haut Berry Val de Loire;CC;8
200022523;CA de la Brie Francilienne;CA;2
200022812;CC Gâtine - Autize;CC;13
200022846;CC du Barséquanais;CC;30
200022986;CC du Grand Pic Saint-Loup;CC;36
200022994;CC de Château-Renard;CC;10
200023026;CC du Pays de Bitche;CC;37
200023075;CC du Pays de Maîche;CC;19
200023125;CC les Portes Briardes Entre Villes et Forêts;CC;5
200023216;CC Aubrac-Laguiole;CC;7
200023240;CC Pays de Nemours;CC;12
200023257;CC Sologne Bourbonnais-Nivernais;CC;4
200023273;CC du Nord de l'Aube;CC;7
200023281;CA Mulhouse Alsace Agglomération (M2A);CA;34
200023299;CC Coeur de Tarentaise;CC;9
200023307;CA du Grand Villeneuvois;CA;19
200023323;CC des Vallées du Cristal;CC;18
200023331;CC Pontgibaud Sioule et Volcans;CC;7
200023356;CA Grand Paris Seine Ouest (Gpso);CA;8
200023372;CC de la Vallée de Chamonix-Mont-Blanc;CC;4
200023414;Métropole Rouen Normandie;ME;71
200023430;CA Est Ensemble;CA;9
200023448;CA Terres de France;CA;3
200023489;CC Entre Allier et Bois Noirs;CC;7
200023547;CC du Pays de Luchon;CC;31
200023554;CC du Boulonnais;CC;24
200023562;CC le Coeur du Pithiverais;CC;3
200023620;CC de la Gascogne Toulousaine;CC;14
200023695;CC Coeur Sud Oise;CC;13
200023703;CC des Trois Forêts;CC;5
200023737;CA du Grand Cahors;CA;39
200023778;CC du Pays de St Gilles-Croix-De-Vie;CC;14
200023794;CC du Canton de Blaye;CC;13
200023877;CC du Pays de Vernoux;CC;7
200023919;CC Gâtinais Val de Loing;CC;20
200024487;CC du Val d'Arly - Com'arly;CC;6
200025161;CC de la Raye;CC;5
200026177;CC du Chardon Lorrain;CC;39
200026185;CC de la Vallée de l'Orne;CC;5
200026482;CC Bresse Revermont;CC;37
200026573;CC Haut-Jura Saint-Claude;CC;28
200026722;CC du Canton de Cazères;CC;16
200026979;CA Seine-Défense;CA;2
200027001;CC du Sancerrois;CC;17
200027027;CC Arc Sud Bretagne;CC;12
200027035;CC Bouilly Mogne Aumont;CC;24
200027068;CA du Libournais;CA;34
200027076;CC Arnon Boischaut Cher;CC;19
200027100;CC Méditerranée Porte des Maures;CC;6
200027183;CA Perpignan Méditerranée (PMCA);CA;36
200027217;CC Sarlat-Périgord Noir;CC;13
200027225;CC la Brie des Morin;CC;21
200027274;CC du Coeur de la Brie;CC;10
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;CC;54
200027399;CC Fumel Communauté;CC;19
200027548;CC des Savanes;CC;4
200029734;CC des 4B Sud Charente;CC;46
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;14
200030104;CC les Terres du Gâtinais;CC;16
200030195;Métropole Nice Côte d'Azur;ME;49
200030229;CC du Val des Mauves;CC;8
200030385;CA de Blois Agglopolys;CA;48
200030435;CC d'Aire Sur l'Adour;CC;22
200030518;CC Entre Somme et Loire;CC;17
200030526;CC du Ried de Marckolsheim;CC;17
200030559;CC du Betz et de la Cléry;CC;15
200030583;CC de la Région de Haguenau;CC;14
200030633;CC du Caudrésis et du Catésis;CC;46
200030658;CC du Trièves;CC;28
200030674;CA Val de Garonne Agglomération;CA;43
200030716;CC du Grand Roye;CC;28
200032514;CC Berry-Loire-Vauvise;CC;14
200033025;CA de Bar-Le-Duc - Sud Meuse;CA;33
200033090;CC Plaines et Monts de France;CC;37
200033116;CC Cluses-Arve et Montagnes;CC;10
200033124;CC Lintercom Lisieux-Pays d'Auge-Normandie;CC;33
200033157;CA Caen la Mer;CA;35
200033173;CC de la Haute Vallée de Chevreuse;CC;10
200033181;CA Chartres Métropole;CA;47
200033199;CC Coteaux du Vexin;CC;3
200033207;CC Vierzon-Sologne-Berry;CC;10
200033215;CC Maisons-Mesnil;CC;2
200033298;CC des Coëvrons;CC;39
200033371;CA Europ'essonne (Caee);CA;14
200033413;CA Seine Amont;CA;3
200033520;CC du Brannais;CC;15
200033538;CC les Avant-Monts du Centre Hérault;CC;18
200033579;CU d'Arras;CU;39
200033686;CA Reims Métropole;CA;16
200033827;CC de Fium'orbu Castellu;CC;12
200033868;CC des Ballons des Hautes-Vosges;CC;8
200034023;CC Tarn-Agout;CC;22
200034031;CC des Monts d'Alban et du Villefranchois;CC;15
200034049;CC Centre Tarn;CC;16
200034056;CC du Lautrécois et du Pays d'Agout;CC;26
200034064;CC du Cordais et du Causse (4 C);CC;18
200034098;CC des Montagnes du Griffe;CC;8
200034130;CC Gally Mauldre;CC;11
200034197;CC de Montaigne Montravel et Gurson;CC;18
200034205;CC de la Costa Verde;CC;23
200034270;CC Barr-Bernstein;CC;20
200034288;CC du Pays de Marmoutier-Sommerau;CC;10
200034353;CC Coeur de Puisaye;CC;24
200034361;CA d'Epinal;CA;38
200034379;CC Pays d'Uzès;CC;31
200034411;CC du Piémont Cévenol;CC;34
200034601;CC Causses Aigoual Cévennes;CC;16
200034635;CC du Kochersberg;CC;24
200034676;CC la Ferté-St Michel;CC;2
200034684;CC du Bassin de Neufchâteau;CC;42
200034692;CA du Gard Rhodanien;CA;42
200034700;CA Durance-Lubéron-Verdon Agglomération;CA;26
200034718;CC de Vitry, Champagne et Der;CC;35
